LoggerLight version 1.3.0, 9/19/2018 11:12:00 AM, rapid sampling mode. Time is number of seconds past midnight of 9/19/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a,,,,,,,,,,
 Probe S/N  BIC2104P-1011   ," calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag ""a""",,,,,,,,,,,,,
 Probe S/N  BIC2104R-1011   ," calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag ""b""",,,,,,,,,,,,,
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.446047E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b
40330.12,3.060205,24.20411,76.39464,2139.371,21.3165,-2.81E-03,9.617018,18.2461,2.489639,19.83645,61.47475,1621.188,9.595788,18.73438
40330.42,3.053572,24.14707,76.17322,2131.616,21.37279,-1.04E-02,9.617018,18.2461,2.489463,19.83043,61.44796,1620.376,9.595788,18.73438
40330.73,3.052883,24.15018,76.15672,2130.18,21.34064,7.892289E-03,9.617018,18.2461,2.488749,19.83304,61.45409,1620.59,9.595788,18.73438
40331.01,3.049069,24.10933,76.01407,2125.772,21.36291,2.469367E-02,9.617018,18.2461,2.489211,19.82924,61.44241,1620.562,9.595788,18.73438
40331.32,3.05335,24.14401,76.16158,2131.008,21.33639,4.841895E-03,9.617018,18.2461,2.488625,19.82687,61.43753,1620.255,9.595788,18.73438
40331.6,3.047751,24.09866,76.00695,2126.251,21.30661,8.376479E-03,9.617018,18.2461,2.488895,19.82792,61.43724,1620.287,9.595788,18.73438
40331.91,3.047216,24.10488,76.03814,2127.281,21.31199,-2.37E-02,9.617018,18.2461,2.487926,19.82025,61.39732,1619.281,9.595788,18.73438
40332.21,3.054252,24.15571,76.21049,2131.522,21.33891,1.418675E-02,9.617018,18.2461,2.48754,19.81623,61.38322,1618.924,9.595788,18.73438
40332.5,3.058023,24.18612,76.30482,2133.908,21.31607,3.534584E-03,9.617018,18.2461,2.48761,19.81603,61.37803,1618.864,9.595788,18.73438
40332.8,3.050639,24.13685,76.13717,2127.077,21.33673,2.217588E-02,9.617018,18.2461,2.488101,19.81277,61.35628,1618.204,9.595788,18.73438
