LoggerLight version 1.3.0, 7/23/2018 6:33:54 AM, rapid sampling mode. Time is number of seconds past midnight of 7/23/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.634666E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
23641.8,0.0115188,1.167283,6.192518,131.6954,23.03706,-2.968082E-02,9.638247,19.71094,5.399025E-03,0.8106377,4.638638,94.71275,9.595788,20.19922,
23642.1,0.0115441,1.173686,6.205414,131.8794,23.06485,-7.553357E-02,9.638247,19.71094,5.717127E-03,0.811536,4.640476,94.69853,9.595788,20.19922,
23642.41,1.203022E-02,1.171722,6.196925,131.5813,23.12944,-0.0482737,9.638247,19.71094,5.657108E-03,0.8112041,4.642034,94.72991,9.595788,20.19922,
23642.69,1.160374E-02,1.175766,6.217999,131.9079,23.12634,-5.732804E-02,9.638247,19.71094,5.823161E-03,0.8105862,4.643297,94.72932,9.595788,20.19922,
23643,1.093872E-02,1.173217,6.198224,131.3757,23.12754,-2.072331E-02,9.638247,19.71094,5.302995E-03,0.8124686,4.650623,94.78853,9.595788,20.19922,
23643.3,0.0115947,1.171987,6.205993,131.7533,23.1272,-6.928752E-02,9.638247,19.71094,5.427034E-03,0.8127719,4.65107,94.87496,9.595788,20.19922,
23643.62,1.182421E-02,1.169145,6.187927,131.3273,23.10695,-6.192784E-02,9.638247,19.71094,5.515062E-03,0.8133441,4.653316,94.7832,9.595788,20.19922,
23643.92,1.186758E-02,1.173047,6.189749,131.4759,23.11686,-0.0444486,9.638247,19.71094,5.399025E-03,0.8153581,4.663923,94.99456,9.595788,20.19922,
23644.21,1.173566E-02,1.169839,6.176076,131.0819,23.07048,-3.156916E-02,9.638247,19.71094,6.221288E-03,0.8170002,4.672718,95.07507,9.595788,20.19922,
23644.5,1.157302E-02,1.171055,6.180384,131.3065,23.13674,-2.817983E-02,9.638247,19.71094,6.489373E-03,0.8188884,4.686375,95.16388,9.595788,20.19922,
23644.8,1.150254E-02,1.170444,6.181458,131.075,23.07101,-9.780629E-03,9.638247,19.71094,5.905187E-03,0.8155354,4.662749,94.9022,9.595788,20.19922,
23645.11,0.0116959,1.169193,6.171641,130.871,23.07214,-1.360573E-02,9.638247,19.71094,5.953202E-03,0.8163708,4.664434,94.86194,9.595788,20.19922,
23645.4,1.149712E-02,1.173849,6.191147,131.3195,23.05435,-1.491304E-02,9.638247,19.71094,5.823161E-03,0.8198038,4.678385,95.10172,9.595788,20.19922,
23645.7,1.206275E-02,1.176201,6.206388,131.6936,23.07022,-2.338636E-02,9.638247,19.71094,5.85317E-03,0.8176868,4.672335,94.98331,9.595788,20.19922,
23645.99,1.176638E-02,1.182978,6.241178,132.3288,23.06593,-4.841895E-03,9.638247,19.71094,5.439038E-03,0.8179157,4.674339,94.98804,9.595788,20.19922,
23646.27,1.242417E-02,1.18047,6.233423,131.9987,23.06737,-1.878656E-02,9.638247,19.71094,5.224969E-03,0.8172748,4.664651,94.798,9.595788,20.19922,
23646.56,0.0119489,1.179464,6.240104,132.2026,23.11575,-1.530039E-02,9.638247,19.71094,6.037229E-03,0.8179157,4.664077,94.84892,9.595788,20.19922,
23646.87,1.167241E-02,1.183488,6.251771,132.4074,23.05816,-3.592686E-02,9.638247,19.71094,6.173272E-03,0.8184478,4.669425,94.74945,9.595788,20.19922,
