LoggerLight version 1.3.0, 7/18/2018 12:01:55 PM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.612553E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
43322.78,4.415878,31.52634,87.88192,2206.98,23.79338,4.64822E-03,9.617018,20.6875,3.759377,26.96431,74.00899,1784.271,9.595788,21.17579,
43323.07,4.637772,32.96952,91.57555,2284.99,23.81089,-3.921935E-02,9.617018,20.6875,3.763198,26.98433,74.04424,1784.753,9.595788,21.17579,
43323.35,4.414051,31.48026,87.76464,2205.469,23.82529,-4.168872E-02,9.617018,20.6875,3.76351,26.98882,74.04691,1784.267,9.595788,21.17579,
43323.66,4.575907,32.5903,90.70481,2266.71,23.74847,-4.183398E-02,9.595788,20.6875,3.764422,27.00049,74.06898,1784.782,9.595788,21.17579,
43323.94,4.464497,31.78473,88.61264,2225.956,23.78337,-2.551679E-02,9.617018,20.6875,3.767303,27.02419,74.13213,1786.325,9.595788,21.66407,
43324.25,4.503008,32.10894,89.46679,2240.174,23.81689,-6.681816E-03,9.617018,20.6875,3.774796,27.06484,74.17461,1785.782,9.595788,21.17579,
43324.54,4.493152,31.96775,89.08797,2237.288,23.78326,-2.745355E-02,9.617018,20.6875,3.775872,27.07643,74.15986,1784.631,9.595788,21.17579,
43324.84,4.49605,32.07757,89.43026,2241.455,23.77346,-6.536559E-03,9.617018,20.6875,3.776564,27.07796,74.16259,1784.984,9.595788,21.17579,
43325.14,4.486968,31.92152,88.83067,2227.126,23.80527,-6.584978E-03,9.617018,20.6875,3.768986,27.03017,74.02357,1780.378,9.595788,21.17579,
43325.46,4.504376,32.12984,89.47862,2239.157,23.78921,-3.127864E-02,9.617018,20.6875,3.768065,27.02026,74.00535,1780.05,9.595788,21.17579,
43325.75,4.420625,31.491,87.6922,2199.362,23.82373,-4.614326E-02,9.617018,20.6875,3.765221,27.00053,73.99044,1781.024,9.595788,21.17579,
43326.05,4.659885,33.02775,91.67372,2291.365,23.8085,-1.728557E-02,9.617018,20.6875,3.761139,26.97288,73.98898,1783.83,9.595788,21.17579,
43326.36,4.408485,31.5159,87.8429,2204.242,23.81896,-1.375098E-02,9.617018,20.6875,3.760175,26.97239,74.0154,1785.235,9.595788,21.17579,
43326.64,4.657436,33.00063,91.59962,2289.952,23.81922,-2.241798E-02,9.595788,20.6875,3.760941,26.97577,74.03931,1786.37,9.595788,21.66407,
43326.93,4.448144,31.7778,88.66713,2226.504,23.82745,-2.280533E-02,9.617018,20.6875,3.759163,26.96293,74.00754,1785.867,9.595788,21.17579,
43327.22,4.562876,32.42696,90.15134,2256.761,23.79155,1.191106E-02,9.595788,20.6875,3.75816,26.95615,74.04325,1789.241,9.595788,21.17579,
43327.52,4.481279,31.96684,89.08018,2232.44,23.80664,-1.476778E-02,9.617018,20.6875,3.755578,26.94127,74.03558,1790.524,9.595788,21.17579,
43327.81,4.46827,31.81713,88.571,2220.533,23.82935,-1.316996E-02,9.617018,20.6875,3.763816,26.99282,74.06921,1789.001,9.595788,21.17579,
43328.11,4.617442,32.80945,91.10172,2275.334,23.82464,-2.198221E-02,9.595788,20.6875,3.7698,27.04321,74.16698,1790.754,9.595788,21.17579,
43328.41,4.399802,31.4016,87.53181,2198.113,23.82736,-8.231222E-04,9.617018,20.6875,3.76843,27.03231,74.17314,1792.741,9.595788,21.17579,
43328.7,4.697253,33.2878,92.29903,2301.312,23.84249,-9.393278E-03,9.617018,20.6875,3.766397,27.01843,74.16009,1792.445,9.595788,21.17579,
43329.02,4.408283,31.46492,87.71478,2202.262,23.81827,-1.820553E-02,9.617018,20.6875,3.764824,27.00637,74.14843,1792.387,9.595788,21.17579,
43329.3,4.66018,33.10469,91.89006,2291.455,23.85581,-0.0176245,9.617018,20.6875,3.762874,26.98966,74.13447,1793.033,9.595788,21.17579,
43329.61,4.432377,31.59748,88.09132,2213.515,23.84591,-4.357706E-03,9.617018,20.6875,3.763144,26.99309,74.12598,1792.704,9.595788,21.66407,
