LoggerLight version 1.3.0, 7/17/2018 4:55:26 PM, rapid sampling mode. Time is number of seconds past midnight of 7/17/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,0.0559035,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
60933.92,0.8690605,11.83365,33.27586,752.4761,25.84508,-3.302173E-02,9.638247,21.17579,0.7659501,10.46264,30.20524,677.7663,9.617018,22.15235,
60934.23,0.8686684,11.84686,33.2611,750.5933,25.79888,1.195948E-02,9.617018,21.17579,0.7697914,10.55205,30.63324,691.9404,9.617018,22.15235,
60934.53,0.8625224,11.73466,32.79257,736.717,25.82348,-2.924505E-02,9.638247,21.17579,0.7740367,10.62019,30.95061,702.5652,9.595788,22.15235,
60934.85,0.8617327,11.73008,32.86763,741.4617,25.80161,-3.437746E-03,9.638247,21.17579,0.7784742,10.6835,31.27488,713.6725,9.617018,22.15235,
60935.15,0.8772558,11.9771,34.18948,790.7817,25.78756,3.050394E-03,9.638247,21.17579,0.7836258,10.75943,31.6643,727.1984,9.595788,22.15235,
60935.44,0.8824801,12.05955,34.68033,809.0259,25.83713,-2.871244E-02,9.638247,21.17579,0.7891495,10.84114,32.08218,741.4294,9.617018,22.15235,
60935.74,0.8896526,12.16674,35.07561,818.485,25.83889,-1.162055E-02,9.617018,21.17579,0.7946933,10.92533,32.50483,756.0837,9.617018,22.15235,
60936.03,0.8946149,12.25361,35.5542,835.6707,25.8489,4.551382E-03,9.638247,21.17579,0.8011414,11.01941,32.97835,772.2672,9.595788,22.15235,
60936.33,0.8854185,12.11205,34.82062,811.0548,25.87284,-2.091699E-02,9.638247,21.17579,0.8069312,11.11393,33.44929,788.3625,9.617018,22.15235,
60936.62,0.8863438,12.14537,35.21832,826.2238,25.82544,-3.200493E-02,9.638247,21.17579,0.8140315,11.22296,33.9838,806.4648,9.595788,22.15235,
60936.92,0.9596438,13.1447,39.75744,1000.074,25.83679,-3.195651E-02,9.638247,21.17579,0.821694,11.33322,34.52578,824.8958,9.595788,22.15235,
60937.23,1.072393,14.85273,46.37885,1193.225,25.79564,-4.793477E-02,9.638247,21.17579,0.8289002,11.45275,35.12259,845.2905,9.595788,22.15235,
