LoggerLight version 1.3.0, 4/29/2024 3:29:27 PM, rapid sampling mode. Time is number of seconds past midnight of 4/29/2024, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.412847E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
55774.61,1.027566,10.25113,31.48845,776.4233,11.59603,-0.1825879,9.617018,19.22266,1.145838,11.96101,34.70296,807.4417,9.595788,18.73438,
55774.9,1.027118,10.24784,31.47864,776.1157,11.5858,-0.1696116,9.617018,18.73438,1.146876,11.96627,34.72628,808.3458,9.595788,18.73438,
55775.2,1.029716,10.27302,31.58286,779.0751,11.54616,-0.1908191,9.617018,18.73438,1.146994,11.97145,34.75045,809.0941,9.595788,18.73438,
55775.49,1.029095,10.25803,31.5358,778.3848,11.60368,-0.1739693,9.617018,18.73438,1.147614,11.97803,34.7811,810.251,9.595788,18.73438,
55775.79,1.03139,10.29924,31.66704,781.2302,11.59562,-0.1633656,9.617018,18.73438,1.148494,11.9866,34.81981,811.4854,9.595788,18.73438,
55776.09,1.035085,10.33002,31.79624,785.6111,11.59725,-0.1886403,9.617018,18.73438,1.149267,11.99442,34.85612,812.6671,9.595788,18.73438,
55776.38,1.034742,10.31204,31.7381,783.8777,11.59566,-0.1897539,9.617018,18.73438,1.150027,12.00368,34.89634,814.0709,9.595788,18.73438,
55776.66,1.032716,10.30918,31.74943,784.2813,11.56364,-0.1990019,9.617018,18.73438,1.150681,12.01227,34.93552,815.2638,9.595788,18.73438,
55776.96,1.02994,10.28342,31.67855,783.4664,11.553,-0.2083952,9.617018,18.73438,1.151085,12.0213,34.97749,816.6445,9.595788,18.73438,
55777.25,1.032973,10.30603,31.74597,784.7055,11.56987,-0.2136728,9.617018,18.73438,1.152658,12.03086,35.0253,818.2424,9.595788,18.73438,
55777.55,1.036027,10.34056,31.88815,789.2903,11.57127,-0.1990503,9.617018,18.73438,1.153504,12.04201,35.07384,819.7391,9.595788,18.73438,
55777.84,1.034283,10.31999,31.82607,787.6209,11.58309,-0.1961452,9.617018,18.73438,1.154376,12.0525,35.12402,821.366,9.595788,18.73438,
55778.11,1.037133,10.36159,31.98345,791.8005,11.59997,-0.201907,9.617018,18.73438,1.154956,12.06306,35.17606,823.1179,9.595788,18.73438,
55778.41,1.036667,10.342,31.93089,791.1542,11.59066,-0.2025365,9.617018,18.73438,1.156677,12.0744,35.23001,824.8099,9.595788,18.73438,
55778.7,1.03105,10.30348,31.82671,788.3831,11.57485,-0.195661,9.617018,18.73438,1.156827,12.08588,35.28608,826.5997,9.595788,18.73438,
55778.98,1.036177,10.34005,31.96722,792.8158,11.58238,-0.1857351,9.617018,18.73438,1.158419,12.1022,35.36023,828.6635,9.595788,18.73438,
55779.29,1.02565,10.24816,31.7094,786.9236,11.56345,-0.1733883,9.617018,18.73438,1.160318,12.1201,35.42974,830.6788,9.595788,18.73438,
55779.59,1.025363,10.23642,31.68818,787.1327,11.56226,-0.1791017,9.617018,18.73438,1.161579,12.13741,35.50305,832.7919,9.595788,18.73438,
55779.88,0.9695956,9.783057,30.43052,756.2289,11.56627,-0.1914001,9.617018,18.73438,1.163849,12.1562,35.58112,834.9949,9.595788,18.73438,
55780.16,0.7671647,7.901599,25.54122,658.173,11.55468,-0.1739209,9.617018,18.73438,1.1649,12.1699,35.64031,836.6774,9.595788,18.73438,
55780.46,0.6924587,7.062493,22.7985,591.6456,11.57759,-0.1398824,9.617018,18.73438,1.16557,12.18716,35.72481,838.9243,9.595788,18.73438,
55780.75,0.7134537,7.390841,24.53989,648.8858,11.55705,-0.1615256,9.617018,18.73438,1.168031,12.20957,35.82797,841.9591,9.595788,18.73438,
55781.05,0.6396603,6.555765,21.43823,563.0195,11.56463,-0.1357667,9.617018,18.73438,1.170543,12.2316,35.92399,844.6588,9.595788,18.73438,
55781.34,0.6575362,6.823363,22.74394,602.7119,11.60674,-0.1612351,9.617018,18.73438,1.172774,12.25741,36.02923,847.4982,9.595788,18.73438,
55781.63,0.624383,6.433233,21.40752,571.2197,11.58801,-0.173243,9.617018,18.73438,1.174993,12.28264,36.12882,850.282,9.595788,18.73438,
55781.91,0.6268858,6.495328,21.55579,568.8063,11.62312,-0.1420128,9.617018,18.73438,1.177366,12.3075,36.23214,853.019,9.595788,18.73438,
55782.2,0.6488531,6.751826,22.92475,617.2423,11.61074,-0.1336363,9.617018,18.73438,1.17983,12.33132,36.33099,855.8016,9.595788,18.73438,
55782.5,0.6100363,6.310633,21.09279,561.5808,11.63721,-0.1446758,9.617018,18.73438,1.181811,12.35421,36.42735,858.631,9.595788,18.73438,
55782.79,0.6257617,6.497198,21.86256,584.288,11.62151,-0.1478231,9.617018,18.73438,1.184342,12.38328,36.55183,862.2313,9.595788,18.73438,
55783.09,0.6400579,6.613646,22.33562,601.2369,11.6515,-0.1482104,9.617018,18.73438,1.187979,12.42,36.71205,867.2204,9.595788,18.73438,
55783.39,0.6272888,6.478674,21.85956,588.3509,11.56918,-0.1458379,9.617018,18.73438,1.19254,12.47141,36.94765,874.7512,9.595788,18.73438,
55783.7,0.6371863,6.58615,22.20222,596.2296,11.57012,-0.1563932,9.617018,18.73438,1.198424,12.53084,37.20951,883.5194,9.595788,18.73438,
55784,0.6390784,6.607943,22.31535,601.2361,11.57566,-0.1359604,9.617018,18.73438,1.202944,12.58606,37.46583,892.3154,9.595788,18.73438,
55784.3,0.649379,6.724779,22.83054,618.5609,11.58446,-0.1454021,9.617018,18.73438,1.207123,12.63494,37.67988,899.9427,9.595788,18.73438,
55784.57,0.6343763,6.576688,22.33523,605.165,11.62213,-0.1680622,9.617018,18.73438,1.21023,12.66612,37.81002,904.9982,9.595788,18.73438,
55784.86,0.6270123,6.499121,22.04094,596.2538,11.6305,-0.1623003,9.617018,18.73438,1.21106,12.67616,37.85195,907.036,9.595788,18.73438,
55785.14,0.6309319,6.539227,22.29125,605.8365,11.57567,-0.1571195,9.617018,18.73438,1.212029,12.68321,37.88626,908.4835,9.595788,18.73438,
55785.43,0.6165581,6.378329,22.06771,597.0894,11.63896,-0.1535849,9.617018,18.73438,1.214982,12.68559,37.90708,909.1957,9.595788,18.73438,
55785.7,0.6355545,6.557526,22.0926,596.1519,11.64753,-0.1623488,9.617018,18.73438,1.213385,12.70888,38.01821,913.1145,9.595788,18.73438,
55785.98,0.6561664,6.767623,22.56568,611.631,11.6583,-0.1797312,9.617018,18.73438,1.217052,12.71718,38.06429,914.6349,9.595788,18.73438,
55786.3,0.6498488,6.679629,22.30864,599.1623,11.61049,-0.1793922,9.617018,18.73438,1.215654,12.73294,38.1256,916.8355,9.595788,18.73438,
55786.59,0.6613908,6.817143,22.95613,619.4371,11.64093,-0.1703379,9.617018,18.73438,1.215328,12.72508,38.09065,915.3672,9.595788,18.73438,
55786.89,0.650427,6.693279,22.69049,617.6821,11.60529,-0.1297144,9.617018,18.73438,1.214119,12.71783,38.0545,913.6254,9.595788,18.73438,
55787.2,0.6211627,6.43912,21.82093,588.9471,11.60133,-0.1418191,9.617018,18.73438,1.215412,12.72557,38.09415,913.9907,9.595788,18.73438,
55787.5,0.6111332,6.392828,21.90577,595.1443,11.61785,-0.1456442,9.617018,18.73438,1.219173,12.76617,38.28045,918.7644,9.595788,18.73438,
55787.8,0.6287562,6.549838,22.511,614.1454,11.55414,-0.1694179,9.617018,18.73438,1.226833,12.8499,38.66825,930.4507,9.595788,18.73438,
55788.09,0.6315861,6.575124,22.87976,633.5104,11.6204,-0.1550375,9.617018,18.73438,1.236258,12.95494,39.13479,945.5059,9.595788,18.73438,
55788.39,0.618752,6.451797,22.18112,605.4502,11.59303,-0.1411413,9.617018,18.73438,1.247464,13.07335,39.66149,962.9498,9.595788,18.73438,
55788.68,0.6409271,6.740501,23.69795,659.158,11.63195,-0.150583,9.617018,18.73438,1.258734,13.19977,40.21086,981.3991,9.595788,18.73438,
55788.96,0.6035975,6.314344,21.94146,605.6023,11.62574,-0.1638982,9.617018,18.73438,1.267436,13.28775,40.5787,994.7604,9.595788,18.73438,
55789.27,0.6112886,6.453238,22.71951,631.4391,11.64066,-0.1557154,9.617018,18.73438,1.270779,13.33423,40.75407,1001.56,9.595788,18.73438,
55789.55,0.6391904,6.693993,23.60752,660.2252,11.64941,-0.1590563,9.617018,18.73438,1.270965,13.33841,40.75177,1002.53,9.595788,18.73438,
55789.84,0.6160955,6.456739,22.69313,633.4153,11.62004,-0.1647213,9.617018,18.73438,1.267248,13.2954,40.54134,996.2221,9.595788,18.73438,
55790.14,0.5816592,6.154447,21.56534,595.9505,11.60317,-0.177165,9.617018,18.73438,1.26072,13.22071,40.19198,984.65,9.595788,18.73438,
55790.45,0.5819718,6.194457,22.0057,612.8372,11.65544,-0.1676748,9.617018,18.73438,1.250879,13.11612,39.71241,969.2669,9.595788,18.73438,
55790.73,0.573332,6.115571,21.95933,615.8555,11.59755,-0.1566353,9.617018,18.73438,1.239315,12.98783,39.15044,951.1729,9.595788,18.73438,
55791.04,0.5724195,6.077559,21.66275,604.1126,11.61673,-0.138575,9.617018,18.73438,1.226871,12.86025,38.58883,932.9066,9.595788,18.73438,
55791.35,0.5662752,6.010264,21.31749,591.7355,11.62457,-0.1322806,9.617018,18.73438,1.215548,12.73825,38.05888,915.1274,9.595788,18.73438,
55791.64,0.5663873,6.012969,21.35444,594.1688,11.6388,-0.1397371,9.617018,18.73438,1.206069,12.63498,37.62247,901.1416,9.595788,18.73438,
55791.96,0.5754048,6.068397,21.30275,588.3967,11.62812,-0.1529555,9.617018,18.73438,1.19831,12.54212,37.22841,889.1758,9.595788,18.73438,
55792.26,0.5680245,6.018075,21.13289,582.9565,11.59428,-0.1304891,9.617018,18.73438,1.189776,12.45517,36.86751,878.2046,9.595788,18.73438,
55792.55,0.5353302,5.683113,19.75607,539.0923,11.60706,-0.1397855,9.617018,18.73438,1.182339,12.3815,36.55867,868.919,9.595788,18.73438,
55792.84,0.5613364,5.961342,20.76159,566.6651,11.54425,-0.1534881,9.617018,18.73438,1.177634,12.32953,36.34101,862.3153,9.595788,18.73438,
55793.12,0.5647609,6.010808,21.21445,586.9744,11.6097,-0.173582,9.617018,18.73438,1.173816,12.2864,36.15825,857.2155,9.595788,18.73438,
