LoggerLight version 1.3.0, 7/9/2018 1:48:24 PM, rapid sampling mode. Time is number of seconds past midnight of 7/9/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.735726E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
49711.93,3.867801,20.87323,59.09399,1553.42,25.49697,9.853257E-02,9.638247,23.12891,5.498942,28.41004,71.23415,1670.54,9.617018,24.59375,
49712.2,4.144063,21.9532,61.02745,1608.557,25.52194,0.1104921,9.638247,23.12891,5.492136,28.37115,71.11223,1667.751,9.617018,24.59375,
49712.49,3.568445,19.44088,54.46902,1419.001,25.55395,0.1080227,9.638247,23.12891,5.492753,28.36722,71.11008,1667.41,9.617018,24.59375,
49712.79,4.255473,22.35168,61.24695,1596.596,25.56886,0.1106857,9.638247,23.12891,5.488493,28.34963,71.08059,1667.114,9.617018,24.59375,
49713.09,4.30863,22.77507,63.06204,1660.925,25.52422,0.1222094,9.638247,23.12891,5.489686,28.35328,71.06413,1665.97,9.617018,24.59375,
49713.39,3.943468,20.74852,57.31718,1516.738,25.53539,9.703159E-02,9.638247,23.12891,5.492244,28.37749,71.14993,1668.171,9.617018,24.59375,
49713.7,4.164059,22.7922,66.92474,1782.92,25.50284,0.1149466,9.638247,23.12891,5.487951,28.34755,71.05502,1665.786,9.617018,24.59375,
49714,4.020305,21.24364,58.20534,1536.252,25.55216,9.979147E-02,9.638247,23.12891,5.487003,28.34094,71.03381,1665.449,9.617018,24.59375,
49714.29,3.683016,20.22052,58.80871,1563.232,25.52782,0.0917055,9.638247,23.12891,5.492183,28.37003,71.1394,1667.59,9.617018,24.59375,
49714.59,3.583031,19.38336,55.4348,1477.15,25.52288,0.1241462,9.638247,23.12891,5.491291,28.35462,71.13064,1668.029,9.617018,24.59375,
49714.9,3.414747,19.44087,60.89794,1687.81,25.58135,8.972032E-02,9.638247,23.12891,5.488781,28.3549,71.0816,1666.325,9.617018,24.59375,
49715.2,3.340355,18.66557,57.53654,1582.122,25.54373,0.111993,9.638247,23.12891,5.490436,28.36195,71.10004,1666.714,9.617018,24.59375,
